Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
003944fe-84b4-4f96-a7bf-84e4bff94baa	-39.66%	-39.66%	2.26%	2.26%	2.26%	2.26%	N/A	N/A	N/A	N/A	N/A	N/A	18.0000	14.0000
00877d1a-2dc8-41ca-874e-e0e814275b47	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
0096cb8d-685a-46f8-b36f-008031699bbe	-105.38%	-105.38%	56.06%	56.06%	56.06%	56.06%	N/A	N/A	N/A	N/A	N/A	N/A	39.0000	8.0000
01d13bc9-8978-4a04-bfc6-6eff4c91e8c9	-116.09%	-116.09%	41.95%	41.95%	41.95%	41.95%	N/A	N/A	N/A	N/A	N/A	N/A	34.0000	21.0000
0249020e-a2cc-41ac-a1c1-ab8e7eac4ba2	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	6.0000	3.0000
02d1488f-5f62-4900-bfdc-2762f43e67b1	-11.17%	-11.17%	27.33%	27.33%	27.33%	27.33%	N/A	N/A	N/A	N/A	N/A	N/A	19.0000	7.0000
039d3b97-2a3d-4377-9553-3243a09eb031	-36.61%	-36.61%	6.68%	6.68%	6.68%	6.68%	N/A	N/A	N/A	N/A	N/A	N/A	6.0000	2.0000
05de1cc4-02b3-4eb7-9958-2a4a2d32b828	62.29%	62.29%	77.96%	77.96%	77.96%	77.96%	N/A	N/A	N/A	N/A	N/A	N/A	119.0000	91.0000
08ea6293-2f4e-4355-b9f2-3bb86af767df	-126.81%	-126.81%	38.93%	38.93%	38.93%	38.93%	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	5.0000
0933084e-7840-4432-856b-0f39cae2636e	34.78%	34.78%	54.91%	54.91%	54.91%	54.91%	N/A	N/A	N/A	N/A	N/A	N/A	56.0000	20.0000
