Timestamp,pano_id,sv_x,sv_y,Label
2019-03-04 12:03:30.272-08,3TO1sxavsQLIliltuPh5yw,11183,-514,CurbRamp
2019-03-04 12:03:34.262-08,3TO1sxavsQLIliltuPh5yw,9057,-602,CurbRamp
2019-03-04 12:04:04.15-08,2zMHlmqFF6V2SHqueb1fZA,595,-510,SurfaceProblem
2019-03-04 12:05:56.857-08,jQdLwvjVMqab7AAsMcrVQA,1305,-411,CurbRamp
2019-03-04 12:06:00.321-08,jQdLwvjVMqab7AAsMcrVQA,3860,-775,CurbRamp
2019-03-04 12:06:02.114-08,jQdLwvjVMqab7AAsMcrVQA,5378,-1048,CurbRamp
2019-03-04 12:06:04.577-08,jQdLwvjVMqab7AAsMcrVQA,9071,-705,CurbRamp
2019-03-04 12:06:06.102-08,jQdLwvjVMqab7AAsMcrVQA,9732,-544,CurbRamp
2019-03-04 12:06:10.676-08,jQdLwvjVMqab7AAsMcrVQA,600,-391,CurbRamp
2019-03-04 12:06:15.023-08,lk95zcW0edw2sZCB1rMPTA,12710,-408,CurbRamp
2019-03-04 12:06:16.681-08,lk95zcW0edw2sZCB1rMPTA,12123,-498,CurbRamp
2019-03-12 09:25:40.774-07,hYEH3dM1ydGeOvU7l906_A,7995,-401,CurbRamp
2019-03-12 09:25:51.243-07,hYEH3dM1ydGeOvU7l906_A,11453,-997,SurfaceProblem
2019-03-12 09:26:11.785-07,bV4C_Q1VLnHuAnCl0C5n6g,70,-640,Obstacle
2019-03-12 09:26:20.873-07,7Y3UweyyZqDYGrFaXYUyUA,6474,-1402,Obstacle
2019-03-12 09:26:41.492-07,9l6MO0OP2_Pxuyd-dbeuZg,8175,-1308,SurfaceProblem
2019-03-12 09:27:35.829-07,48JKHgwep8fxH0FYOrDxIg,8152,-1213,SurfaceProblem
2019-03-12 09:27:36.693-07,48JKHgwep8fxH0FYOrDxIg,6836,-1381,SurfaceProblem
2019-03-12 09:27:37.273-07,48JKHgwep8fxH0FYOrDxIg,5307,-1119,SurfaceProblem
2019-03-12 09:27:41.189-07,p-rJVykMOw5fr52Lo8svYw,12272,-1048,SurfaceProblem
2019-03-12 09:27:57.44-07,xtLnOVoyuXQoLpHgaC1T5g,1424,-920,CurbRamp
2019-03-12 09:28:11.011-07,xtLnOVoyuXQoLpHgaC1T5g,6038,-1530,CurbRamp
2019-03-12 14:42:51.474-07,iKQUgAy3Qng_G5aAZrrAqQ,2232,-628,CurbRamp
2019-03-12 14:42:55.317-07,iKQUgAy3Qng_G5aAZrrAqQ,2393,-469,CurbRamp
2019-03-12 14:43:12.914-07,gyFuxqdBmrjXpxMkvJLUnA,4834,-1333,CurbRamp
2019-03-12 14:43:14.595-07,gyFuxqdBmrjXpxMkvJLUnA,3771,-840,CurbRamp
2019-03-12 14:43:16.191-07,gyFuxqdBmrjXpxMkvJLUnA,2045,-238,CurbRamp
2019-03-12 14:43:18.299-07,gyFuxqdBmrjXpxMkvJLUnA,11460,-377,CurbRamp
2019-03-12 14:43:21.571-07,gyFuxqdBmrjXpxMkvJLUnA,11916,-268,NoCurbRamp
