timestamp,label_id,gsv_panorama_id,sv_image_x,sv_image_y,validation_result,label_type
2019-04-16 00:33:41.801-07,1314,VNQoX0jKHUnS-3q2WUrRYA,7903,-358,disagree,Obstacle
2019-04-16 00:33:20.753-07,1525,205wWrVrhCNrwIXS-jwFzA,4830,-252,disagree,Obstacle
2019-04-16 00:33:27.092-07,84,53PJ9NuERcvfRvPwoRIkUQ,1417,-251,disagree,Obstacle
2019-04-16 00:34:26.513-07,1429,fG8IfgmxxrrbToWxg1L50Q,12756,-19,disagree,Obstacle
2019-04-16 00:34:31.43-07,3396,KCe4bSr7VfB-KnwE2M_x0g,12382,-397,disagree,Obstacle
2019-04-16 00:33:22.484-07,2248,3ZqzG78yCvMxWjtsbS4sUA,3356,-459,disagree,Obstacle
2019-04-16 00:33:40.794-07,1314,VNQoX0jKHUnS-3q2WUrRYA,7903,-358,disagree,Obstacle
2019-04-16 00:33:36.364-07,1314,VNQoX0jKHUnS-3q2WUrRYA,7903,-358,disagree,Obstacle
2019-04-16 00:34:48.593-07,876,Et9Zm3Esp8JS9UByHyDGww,9946,-432,disagree,SurfaceProblem
2019-04-16 02:47:30.293-07,457,treyXG0iNYWO-B5UX1nRbw,3912,-276,agree,CurbRamp
2019-04-16 02:48:37.003-07,651,WejfbZ22qlq-VZJwreE5Fg,3746,-1018,agree,SurfaceProblem
2019-04-16 02:48:51.892-07,645,r2Oo5S8v2ritGCEjbC3fEA,4146,-951,agree,SurfaceProblem
2019-04-16 02:48:58.185-07,432,H_MWJQ7cpL7DMPDibkkzqw,7769,-619,agree,SurfaceProblem
2019-04-16 02:50:08.083-07,409,wuk--sZ3fJyMsMo4tJuybg,4684,-948,agree,CurbRamp
2019-04-16 02:50:09.701-07,1234,QIyXD3LVDR8MzD37SaeYjw,849,-383,agree,CurbRamp
2019-04-16 02:50:16.13-07,3238,fUb-Xiju32grhOgZZxrJPQ,12243,-295,agree,CurbRamp
2019-04-16 02:50:18.146-07,558,V-L9_vKYo_c8ftXiiIei2w,7924,-640,agree,CurbRamp
2019-04-16 02:50:32.59-07,24,bV4C_Q1VLnHuAnCl0C5n6g,70,-640,agree,Obstacle
2019-04-16 02:50:35.071-07,2492,W8_emPaPRqM87VAUNvL9KQ,9076,-448,agree,Obstacle
2019-04-16 02:50:52.354-07,853,T4qW76s-3MCGQfsXJ0G7AA,2201,-179,agree,Obstacle
2019-04-16 02:50:54.273-07,837,FtVutmNrUKipYvd8o9vcaw,2915,-385,disagree,Obstacle
2019-04-16 02:51:48.269-07,71,D5Se4AuiyxHr2ht2CkjnBQ,6236,-393,disagree,NoCurbRamp
2019-04-16 02:51:58.497-07,1277,LsO4IQZWo6v_SB8MIg4QpQ,7141,-464,agree,NoCurbRamp
2019-04-16 02:52:34.05-07,2783,L-9t7rLv0h7iYPQP9wiM8w,8494,-746,agree,SurfaceProblem
2019-04-16 02:52:36.567-07,418,NxGqyhjeCbOGEzwvXp_5lg,2166,-507,agree,SurfaceProblem
2019-04-16 02:52:38.996-07,655,oAfObst8-OwFlUaV1Ca8kQ,2214,-952,agree,SurfaceProblem
2019-04-16 02:52:59.629-07,650,9Ec-rByR7q90916QMnrZjw,3007,-1108,agree,SurfaceProblem
2019-04-16 02:52:40.461-07,420,qTqy8ApuwdqFJLM39Tpohw,2489,-596,agree,SurfaceProblem
2019-04-16 02:52:41.603-07,1058,oqP7byVfpym5eotQ9U4fdA,4741,-478,agree,SurfaceProblem
2019-04-16 02:52:57.306-07,851,xjFbY9o7maOIw6WWqGPb3g,4835,-561,agree,SurfaceProblem
2019-04-16 02:52:56.455-07,851,xjFbY9o7maOIw6WWqGPb3g,4835,-561,agree,SurfaceProblem
2019-04-16 02:53:02.99-07,283,DF4VBwDNJeFEg80MG6WL-A,4043,-608,agree,SurfaceProblem
2019-04-16 02:53:48.716-07,2677,vgWIpyO2xEL8ceVKK8u4QA,4885,-446,agree,NoCurbRamp
2019-04-16 02:53:00.657-07,652,nZMTzQsf8Yhsb8Dd9yBwHw,2104,-734,agree,SurfaceProblem
2019-04-16 02:53:30.236-07,52,A-eM226LYCgGNB1WLubj8Q,2339,-946,agree,SurfaceProblem
2019-04-16 07:28:43.054-07,448,HVL0n0BYcC3AQhGiz11dNg,5453,-548,agree,CurbRamp
2019-04-16 08:48:30.646-07,30,p-rJVykMOw5fr52Lo8svYw,12272,-1048,agree,SurfaceProblem
2019-04-16 08:49:18.451-07,283,DF4VBwDNJeFEg80MG6WL-A,4043,-608,agree,SurfaceProblem
2019-04-16 08:51:53.638-07,390,FV8qUKIW0My0Nfe2k4459A,9056,-219,agree,Obstacle
2019-04-16 08:52:05.695-07,1270,TPiXHk8dVgutcaMITp39kQ,5696,-757,disagree,Obstacle
2019-04-16 08:52:43.004-07,2947,8HbLzG-rMJTBOqRK4-9kMw,4186,-447,disagree,Obstacle
2019-04-16 08:54:31.695-07,2767,-E5BPxO3cbnDFLEmdC4jLA,11235,-689,disagree,Obstacle
2019-04-16 08:54:34.797-07,639,_ooQwlzQF_tLa6m_NydXoQ,8233,-715,agree,Obstacle
2019-04-16 10:09:05.621-07,3199,z2CaNDeJwX0fFi45ay-xTg,10635,-390,agree,Obstacle
2019-04-16 10:09:24.083-07,986,BnNslKXkN6VExflPOKJ8jw,1864,-257,agree,Obstacle
2019-04-16 10:09:30.22-07,579,LxNn4x8zmjq1sbAA7j2P2A,3764,-869,disagree,Obstacle
2019-04-16 10:10:12.5-07,2767,-E5BPxO3cbnDFLEmdC4jLA,11235,-689,disagree,Obstacle
2019-04-16 10:15:18.6-07,876,Et9Zm3Esp8JS9UByHyDGww,9946,-432,disagree,SurfaceProblem
2019-04-16 10:15:28.34-07,1686,yR51O4ESGrxvZxlaO6bi7A,2425,-139,disagree,SurfaceProblem
2019-04-16 10:23:19.048-07,1166,9YkUNV9uwruMBz5p5HIHAA,8643,-133,disagree,Obstacle
2019-04-16 10:23:37.49-07,2090,nTol0mPdHLvkBYOC2VYToA,1498,-913,agree,Obstacle
2019-04-16 10:23:04.307-07,1794,hDnmhdxjioVmAw7opmGksQ,159,-265,agree,Obstacle
2019-04-16 10:23:31.215-07,3396,KCe4bSr7VfB-KnwE2M_x0g,12382,-397,disagree,Obstacle
2019-04-16 10:24:33.677-07,1529,h1R0EBFlKSQd2N4yIFhguQ,78,-662,disagree,NoCurbRamp
2019-04-16 10:23:07.457-07,242,iXYGtES5ujggzEp38_EJYg,9326,-419,agree,Obstacle
2019-04-16 12:01:09.843-07,1324,bR6oV1AfV5_ZgG9qxk7sJg,12685,-100,disagree,Obstacle
2019-04-16 12:01:38.432-07,3199,z2CaNDeJwX0fFi45ay-xTg,10635,-390,agree,Obstacle
2019-04-16 12:02:07.938-07,2985,dTz4WUjV2cN8CdlrYRIljQ,5713,-352,agree,SurfaceProblem
2019-04-16 12:02:22.707-07,857,brmET-k8-7Wc7c6EpWEc1w,4967,-528,agree,SurfaceProblem
2019-04-16 12:08:03.68-07,2562,tOy882rkHwRTi2BEp0_4AA,3233,-458,agree,SurfaceProblem
2019-04-16 12:09:33.825-07,750,Kdy17T0hvCa_9qpAJYHLjg,7149,-817,agree,Obstacle
2019-04-16 12:16:58.91-07,876,Et9Zm3Esp8JS9UByHyDGww,9946,-432,unclear,SurfaceProblem
2019-04-16 12:17:51.092-07,786,x0cjoNB3-uYRmW-RkOB6Cw,8878,-1096,agree,CurbRamp
2019-04-16 12:18:01.604-07,3199,z2CaNDeJwX0fFi45ay-xTg,10635,-390,agree,Obstacle
2019-04-16 12:18:34.395-07,1074,SFmz-YEp3vbrMEuNhh206A,9461,-423,unclear,Obstacle
2019-04-16 12:26:36.717-07,518,Hw0xWH4HqJTn2yhCpwNHoA,4012,-707,agree,SurfaceProblem
2019-04-16 12:34:27.441-07,420,qTqy8ApuwdqFJLM39Tpohw,2489,-596,agree,SurfaceProblem
2019-04-16 12:18:19.603-07,1270,TPiXHk8dVgutcaMITp39kQ,5696,-757,disagree,Obstacle
2019-04-16 12:25:12.643-07,2675,vgWIpyO2xEL8ceVKK8u4QA,11605,-634,agree,NoCurbRamp
2019-04-16 12:30:49.182-07,851,xjFbY9o7maOIw6WWqGPb3g,4835,-561,unclear,SurfaceProblem
2019-04-16 12:30:57.672-07,242,iXYGtES5ujggzEp38_EJYg,9326,-419,agree,Obstacle
2019-04-16 12:34:18.201-07,2080,0Y_pWJAhRs_uedmnIiIm0A,11124,-784,agree,SurfaceProblem
2019-04-16 12:52:17.386-07,923,cWkEELkuM3T425NJSEiYIw,780,-443,agree,CurbRamp
2019-04-16 12:18:06.693-07,164,_ThcAfjL-9PVTI2IGWcIkg,5819,-416,agree,Obstacle
2019-04-16 12:18:51.366-07,3599,lN36mH7jt-ksHznZyegv_g,1879,-368,unclear,Obstacle
2019-04-16 12:18:09.098-07,889,b_oAXeqgQXNskG-vg5PiVQ,11607,-248,agree,Obstacle
2019-04-16 12:19:46.72-07,1076,PfUfvQBPMDtsbtpoPlTBpw,4278,-584,agree,SurfaceProblem
2019-04-16 12:24:13.106-07,2140,Z9sP3iG-1fv5NhfA-wF8ww,2451,-245,disagree,CurbRamp
2019-04-16 12:20:00.104-07,515,30wSSwpQyfXG91DmzPtzXw,3472,-777,unclear,SurfaceProblem
2019-04-16 12:25:25.377-07,205,IfWzYEHcWFgEdUVrWJOtbQ,3302,-989,unclear,NoCurbRamp
2019-04-16 12:32:46.839-07,2340,pWfbz2UIJDo0eI2gYgtChg,1366,-344,unclear,CurbRamp
2019-04-16 12:41:06.783-07,2526,omDZ1-fFNfCXRBMJfcvQtQ,2510,-327,agree,Obstacle
2019-04-16 12:44:02.418-07,2985,dTz4WUjV2cN8CdlrYRIljQ,5713,-352,agree,SurfaceProblem
2019-04-16 12:18:48.397-07,986,BnNslKXkN6VExflPOKJ8jw,1864,-257,agree,Obstacle
2019-04-16 12:21:04.933-07,3411,LQIBE5AJ53FIoIMtq8Vb9g,2647,-605,agree,SurfaceProblem
2019-04-16 12:18:46.73-07,193,7YiyTzFbvNivLvYXAuu88Q,3852,-693,agree,Obstacle
2019-04-16 12:19:49.49-07,283,DF4VBwDNJeFEg80MG6WL-A,4043,-608,agree,SurfaceProblem
2019-04-16 12:18:53.787-07,914,4Czt4q0BsHpIvLTRccKRuQ,934,-300,unclear,Obstacle
